"record_id","name","slug","status","platform_category","current_role","current_company","headline","bio_short","bio_long","country","city","region","timezone","primary_category","secondary_categories","specialties","seniority_level","engagement_type","industry_focus","market_focus","company_size_focus","languages","years_experience","key_contribution","notable_achievements","notable_clients_or_brands","speaking_engagements","podcasts_or_interviews","books_or_newsletters","case_studies","certifications","services_offered","problems_they_solve","ideal_for","personal_website","company_website","linkedin_url","x_url","github_url","other_social_urls","profile_image_url","source_urls","source_notes","confidence_score","last_verified_at","crawl_seed_query","crawl_priority","manual_review_notes"
"sam-dunning","Sam Dunning","sam-dunning","approved","General SEO","Co-owner, Web Choice","Web Choice","","Provides SEO that aligns with sales for B2B companies. Host of Business Growth Show podcast.","","","","","","General SEO","","","","","","","","","","Provides SEO that aligns with sales for B2B companies. Host of Business Growth Show podcast.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Sam Dunning Co-owner, Web Choice General SEO SEO","normal",""
"samantha-north-phd","Samantha North, PhD","samantha-north-phd","approved","AI SEO","Content & AI Automation Specialist","","","Focuses on automating content research and personalization with AI.","","","","","","AI SEO","","","","","","","","","","Focuses on automating content research and personalization with AI.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Samantha North, PhD Content & AI Automation Specialist AI SEO SEO","normal",""
"samy-ben-sadok","Samy Ben Sadok","samy-ben-sadok","approved","General SEO","SEO Consultant","","","Gained fame on LinkedIn for brutally honest takes and memes about SEO struggles.","","","","","","General SEO","","","","","","","","","","Gained fame on LinkedIn for brutally honest takes and memes about SEO struggles.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Samy Ben Sadok SEO Consultant General SEO SEO","normal",""
"samy-thuillier","Samy Thuillier","samy-thuillier","approved","Community & Education","SEO Educator","","","Creates highly-shareable SEO cheatsheet carousels on LinkedIn.","","","","","","Community & Education","","","","","","","","","","Creates highly-shareable SEO cheatsheet carousels on LinkedIn.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Samy Thuillier SEO Educator Community & Education SEO","normal",""
"sanjay-shenoy","Sanjay Shenoy","sanjay-shenoy","approved","Community & Education","Partner, Boring Marketing","Boring Marketing","","Creator of the SEO Career Kickstarter (SCK) program, one of the highest-rated programs for aspiring SEO specialists.","","","","","","Community & Education","","","","","","","","","","Creator of the SEO Career Kickstarter (SCK) program, one of the highest-rated programs for aspiring SEO specialists.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Sanjay Shenoy Partner, Boring Marketing Community & Education SEO","normal",""
"sara-stella-lattanzio","Sara Stella Lattanzio","sara-stella-lattanzio","approved","Content SEO","Head of Marketing, Stryber","Stryber","","Known for blending data and storytelling to drive pipeline as a marketing lead.","","","","","","Content SEO","","","","","","","","","","Known for blending data and storytelling to drive pipeline as a marketing lead.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Sara Stella Lattanzio Head of Marketing, Stryber Content SEO SEO","normal",""
"sara-taher","Sara Taher","sara-taher","approved","General SEO","SEO Consultant & Speaker","","","Helps local and international brands improve their search rankings with effective SEO strategies.","","","","","","General SEO","","","","","","","","","","Helps local and international brands improve their search rankings with effective SEO strategies.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Sara Taher SEO Consultant & Speaker General SEO SEO","normal",""
"steve-toth","Steve Toth","steve-toth","approved","General SEO","Founder, SEO Notebook","SEO Notebook","","Focuses on “SEO of tomorrow” – testing new techniques and sharing cutting-edge strategies.","","","","","","General SEO","","","","","","","","","","Focuses on “SEO of tomorrow” – testing new techniques and sharing cutting-edge strategies.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Steve Toth Founder, SEO Notebook General SEO SEO","normal",""
"steven-schneider","Steven Schneider","steven-schneider","approved","General SEO","Co-founder & CEO, TrioSEO","TrioSEO","","Helps B2B SaaS brands with SEO that directly drives revenue.","","","","","","General SEO","","","","","","","","","","Helps B2B SaaS brands with SEO that directly drives revenue.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Steven Schneider Co-founder & CEO, TrioSEO General SEO SEO","normal",""
"taylor-scher","Taylor Scher","taylor-scher","approved","Content SEO","SaaS SEO Consultant","","","Develops content & SEO playbooks that drive demos and ARR for SaaS startups.","","","","","","Content SEO","","","","","","","","","","Develops content & SEO playbooks that drive demos and ARR for SaaS startups.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Taylor Scher SaaS SEO Consultant Content SEO SEO","normal",""
"tim-hanson","Tim Hanson","tim-hanson","approved","AI SEO","Content SEO Strategist","","","Early adopter of AI writing in SEO. Shares how to safely scale content with AI while maintaining quality.","","","","","","AI SEO","","","","","","","","","","Early adopter of AI writing in SEO. Shares how to safely scale content with AI while maintaining quality.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Tim Hanson Content SEO Strategist AI SEO SEO","normal",""
"tim-kahlert","Tim Kahlert","tim-kahlert","approved","Local SEO","Founder & CEO, Hypetrix.com","Hypetrix.com","","Helps businesses succeed in local search and Google Maps. Founded an agency focusing on Google Business Profile rankings.","","","","","","Local SEO","","","","","","","","","","Helps businesses succeed in local search and Google Maps. Founded an agency focusing on Google Business Profile rankings.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Tim Kahlert Founder & CEO, Hypetrix.com Local SEO SEO","normal",""
"tim-stoddart","Tim Stoddart","tim-stoddart","approved","Content SEO","CEO, Stodzy & Copyblogger Partner","Stodzy & Copyblogger Partner","","Built multiple 7-figure businesses via content. Shares solopreneurship and personal brand growth tips.","","","","","","Content SEO","","","","","","","","","","Built multiple 7-figure businesses via content. Shares solopreneurship and personal brand growth tips.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Tim Stoddart CEO, Stodzy & Copyblogger Partner Content SEO SEO","normal",""
"tom-winter","Tom Winter","tom-winter","approved","AI SEO","Founder, SEOwind","SEOwind","","Tom Winter is an experienced SaaS founder passionate about SEO and AI. With a decade of experience scaling SaaS companies globally, he has already grown a company from zero to customers in 100+ countries, leveraging his unique blend of development, marketing, and sales skills. He is the co-founder of SEOwind, a tool that helps create SEO content briefs in minutes rather than hours.","","","","","","AI SEO","","","","","","","","","","Scaled a SaaS globally; building SEOwind.io for AI-assisted content. Focuses on integrating AI with content strategy.","","","","","","","","","","","https://seowind.io/","","https://www.linkedin.com/in/tom-winter/","","","","","https://seowind.io/ | https://www.linkedin.com/in/tom-winter/","Populate with verifiable public data only.","","","Tom Winter Founder, SEOwind AI SEO SEO","normal",""
"trish-seidel","Trish Seidel","trish-seidel","approved","Content SEO","Marketing Lead","","","Leverages her B2B-honed skills (podcasts, thought leadership) now in consumer content.","","","","","","Content SEO","","","","","","","","","","Leverages her B2B-honed skills (podcasts, thought leadership) now in consumer content.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Trish Seidel Marketing Lead Content SEO SEO","normal",""
"tyler-nalbach","Tyler Nalbach","tyler-nalbach","approved","E-commerce SEO","SEO Specialist (Fashion industry)","","","“Fashion SEO lad” sharing niche tips. Focuses on fashion e-commerce SEO.","","","","","","E-commerce SEO","","","","","","","","","","“Fashion SEO lad” sharing niche tips. Focuses on fashion e-commerce SEO.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Tyler Nalbach SEO Specialist (Fashion industry) E-commerce SEO SEO","normal",""
"ume-laila","Ume Laila","ume-laila","approved","Technical SEO","SEO Strategist","","","Recognized on Reddit’s top SEO to follow for her hands-on advice on technical SEO.","","","","","","Technical SEO","","","","","","","","","","Recognized on Reddit’s top SEO to follow for her hands-on advice on technical SEO.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Ume Laila SEO Strategist Technical SEO SEO","normal",""
"viktoria-medvedko","Viktoria Medvedko","viktoria-medvedko","approved","Link Building","Founder, GetMentioned","GetMentioned","","Specializes in media-driven link-building for SaaS/tech brands.","","","","","","Link Building","","","","","","","","","","Specializes in media-driven link-building for SaaS/tech brands.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Viktoria Medvedko Founder, GetMentioned Link Building SEO","normal",""
"zoe-ashbridge","Zoe Ashbridge","zoe-ashbridge","approved","Content SEO","Co-founder & Sr. SEO Strategist","","","Focuses on data-driven content strategy and paid search integration.","","","","","","Content SEO","","","","","","","","","","Focuses on data-driven content strategy and paid search integration.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Zoe Ashbridge Co-founder & Sr. SEO Strategist Content SEO SEO","normal",""
